,PlayerName
0,S Tyagi
1,Harbhajan Singh
2,B Stanlake
3,NT Ellis
4,Akash Deep
5,M Rawat
6,Gagandeep Singh
7,JP Behrendorff
8,Abdul Samad
9,MS Wade
10,YK Pathan
11,A Kumble
12,S Gopal
13,PA Reddy
14,Mashrafe Mortaza
15,R Shukla
16,SP Fleming
17,Ruturaj Gaikwad
18,RR Raje
19,SD Chitnis
20,B Geeves
21,MS Bisla
22,AN Ahmed
23,Mujeeb Ur Rahman
24,Harshit Rana
25,LE Plunkett
26,M de Lange
27,Liton Das
28,R Dravid
29,Kartik Tyagi
30,Kamran Akmal
31,Ankit Sharma
32,AD Nath
33,KC Cariappa
34,TD Paine
35,UT Khawaja
36,AM Rahane
37,AD Hales
38,PV Tambe
39,P Parameswaran
40,Virat Kohli
41,AUK Pathan
42,ND Doshi
43,R Tewatia
44,MB Parmar
45,MA Khote
46,S Sriram
47,Salman Butt
48,TM Head
49,S Narwal
50,DJ Hooda
51,Vishnu Vinod
52,Rahmanullah Gurbaz
53,AS Joseph
54,V Shankar
55,RR Rossouw
56,OA Shah
57,K Yadav
58,SB Joshi
59,AR Patel
60,A Manohar
61,SS Sarkar
62,RE Levi
63,SK Raina
64,Akash Madhwal
65,DJM Short
66,AD Russell
67,Anirudh Singh
68,W Jaffer
69,I Malhotra
70,S Vidyut
71,DP Vijaykumar
72,Wriddhiman Saha
73,DJ Bravo
74,HE van der Dussen
75,Shivam Sharma
76,SM Curran
77,CRD Fernando
78,Ravi Bishnoi
79,N Pooran
80,Abdur Razzak
81,Sunny Singh
82,KD Karthik
83,R Goyal
84,EJG Morgan
85,Niraj Patel
86,KMA Paul
87,RK Singh
88,A Flintoff
89,MEK Hussey
90,Anuj Rawat
91,S Ladda
92,KM Asif
93,Ayush Badoni
94,A Zampa
95,UT Yadav
96,SW Billings
97,Shashank Singh
98,SO Hetmyer
99,Yash Dayal
100,PP Ojha
101,A Uniyal
102,HC Brook
103,RE van der Merwe
104,Duan Jansen
105,A Ashish Reddy
106,AA Bilakhia
107,Mohammed Shami
108,RM Patidar
109,JJ Bumrah
110,Y Prithvi Raj
111,CA Ingram
112,AD Mathews
